ประทับเวลา,ที่อยู่อีเมล,รหัสหน่วยบริการ และ ชื่อ รพ.สต.,หมู่ที่,ตำบล,อำเภอ,ประชากรทั้งหมด (คน),ประชากร ชาย (คน),ประชากร หญิง (คน),อสม. (คน),จำนวนหมู่บ้าน,จำนวนหลังคาเรือน,จำนวนผู้สูงอายุ (คน),จำนวนวัด/สำนักสงฆ์,จำนวนโรงเรียนประถม,จำนวนโรงเรียนขยายโอกาส,จำนวนโรงเรียนมัธยม,ศพค. / สถานีสุขภาพ,คอลัมน์ 1
4/23/2026 12:07:59,ub14257@gmail.com,14257 - รพ.สต.บ้านกุง,5,คำเจริญ,ตระการพืชผล,4389,2187,2202,79,7,1089,976,8,4,0,0,3,FALSE
4/23/2026 13:20:40,tanyaratsrimarit@gmail.com,03670 - รพ.สต.บ้านโพนเมือง,7,ตระการ,ตระการพืชผล,3644,1833,1811,56,6,807,597,4,1,1,1,3,FALSE
4/23/2026 13:31:09,smilelover1992.pnb2068@gmail.com,03577 - รพ.สต.บ้านแดงหม้อ,2,แดงหม้อ,เขื่องใน,1305,629,676,33,2,338,374,2,1,0,0,0,FALSE
4/23/2026 13:36:16,kham.0357203572@gmail.com,03572 - รพ.สต.บ้านแขม,5,หัวดอน,เขื่องใน,3568,1753,1815,92,7,1263,988,8,3,0,1,0,FALSE
4/24/2026 11:02:15,ub03679@gmail.com,03679 - รพ.สต.บ้านถ้ำแข้,1,ถ้ำแข้,ตระการพืชผล,3239,1625,1614,80,12,1133,746,9,4,1,0,6,FALSE
4/23/2026 14:31:09,nanny3109@yahoo.co.th,03816 - รพ.สต.บ้านสว่างตก,8,สว่าง,สว่างวีระวงศ์,7027,3525,3502,124,13,2081,1530,18,6,1,1,1,FALSE
4/23/2026 14:32:14,watcharapornponpuak29@gmil.com,03580 - รพ.สต.บ้านไทย,1,บ้านไทย,เขื่อใน,2784,1353,1431,63,6,768,789,6,1,0,1,1,FALSE
4/23/2026 14:32:21,nana_pacharin@hotmail.com,03715 - รพสต.บ้านวัด,9,ธาตุ,วารินชำราบ,6519,3226,3293,136,11,1998,1067,8,3,1,0,11,FALSE
4/23/2026 15:20:23,workmay1987@gmail.com,14850 - รพ.สต.ยางขี้นก,1,ยางขี้นก,เขื่องใน,1762,906,856,51,6,742,518,5,2,0,0,0,FALSE
4/23/2026 15:28:18,smm03542@gmail.com,03542 - รพ.สต.บ้านบก,3,เอือดใหญ่,ศรีเมืองใหม่,4028,2010,2018,78,8,1008,895,9,3,0,1,8,FALSE
4/23/2026 17:18:18,nonyang13877@gmail.com,13877 - รพ.สต.บ้านโนนยาง,1,สระสมิง,วารินชำราบ,3371,1695,1676,87,8,1083,927,5,3,0,0,1,FALSE
4/23/2026 17:03:05,Nuetean_06@hotmail.com,03752 - รพ.สต.สำโรง,2,สำโรง,ตาลสุม,4156,2144,2012,75,8,1095,636,6,1,1,0,8,FALSE
4/23/2026 18:28:09,khoonsena.ak@gmail.com,03735 - รพ.สต.ตำบลทรายมูล,6,ทรายมูล,พิบูลมังสาหาร,5842,3215,2627,111,10,1694,1066,14,1,2,2,5,FALSE
4/23/2026 19:39:36,pensriaomamm@gmail.com,13871 - รพ.สต.บ้านนาทอย,7,หนามแท่ง,ศรีเมืองใหม่,3169,1599,1570,67,5,882,594,9,3,0,0,1,FALSE
4/23/2026 19:51:42,harasansununta@gmail.com,03782 - รพ.สต.ตำบลคำไฮใหญ่,4,คำไฮใหญ่,ดอนมดแดง,5389,2699,2690,92,10,1641,878,10,2,2,2,5,FALSE
4/24/2026 7:55:01,Piyaluckka1@gmail.com,03570 - รพ.สต.บ้านดงยาง,8,ก่อเอ้,เขื่องใน,3305,1652,1653,92,5,686,656,5,3,1,0,0,FALSE
4/24/2026 8:55:43,udon03697@gmail.com,03697 - รพ.สต.บ้านหนองเมือง,4,หนองเมือง,ม่วงสามสิบ,3824,1879,1951,63,6,1074,973,6,1,2,0,6,FALSE
4/24/2026 8:34:39,Ubon03699@gmail.com,03699 - รพ.สต.บ้านโนนขวาว,4,เตย,ม่วงสามสิบ,1767,886,881,68,5,726,582,7,3,0,0,0,FALSE
4/24/2026 8:49:05,vimonnon123@gmail.com,03565 - รพ.สต.บ้านศรีบัว,12,สร้างถ่อ,เขื่องใน,2933,1480,1453,72,5,691,634,5,1,1,1,2,FALSE
4/24/2026 8:52:04,ubon03705@gmail.com,03705 - รพ.สต.บ้านหนองเหล่า,11,หนองเหล่า,ม่วงสามสิบ,3857,1855,2002,87,10,1210,855,11,3,1,0,2,FALSE
4/24/2026 8:54:09,ubon03692@gmail.com,03692 - รพ.สต.บ้านหนองหลัก,9,เหล่าบก,ม่วงสามสิบ,1509,707,802,72,6,848,725,4,3,1,0,6,FALSE
4/24/2026 8:55:01,rodsukonkanya39@gmail.com,03695 - รพ.สต.บ้านบัวยาง,8,ดัมใหญ่,ม่วงสทมสิบ,1573,791,782,58,7,840,411,6,2,0,1,7,FALSE
4/24/2026 10:54:00,Ub03677@gmail.com,03677 - รพ.สต.บ้านสะพือ,7,สะพือ,ตระการพืชผล,5512,2729,2770,107,8,1345,1344,7,3,0,1,4,FALSE
4/24/2026 9:01:12,ubon03711@gmail.com,03711 - รพ.สต.บ้านไผ่ใหญ่,1,ไผ่ใหญ่,ม่วงสามสิบ,1249,606,643,48,6,650,454,7,3,0,1,6,FALSE
4/24/2026 9:05:27,kbwytbi208@gmail.com,03694 - รพ.สต.บ้านหนองแสง,13,ดุมใหญ่,ม่วงสามสิบ,1671,778,893,60,6,736,503,5,2,0,0,2,FALSE
4/24/2026 9:11:32,Sompoiy2017@gmail.com,03567 - รพ.สต.บ้านส้มป่อย,5,ค้อทอง,เขื่องใน,2286,1106,1180,66,6,900,751,5,2,0,0,2,FALSE
4/24/2026 9:12:49,banhuatunghospital@gmail.com,03566 - รพ.สต.บ้านหัวทุ่ง,2,ค้อทอง,เขื่องใน,2983,1499,1484,55,5,592,685,6,3,0,0,1,FALSE
4/24/2026 9:14:56,ub03665@gmail.com,03665 - รพ.สต.บ้านนาพิน,2,นาพิน,ตระการพืชผล,3537,1747,1790,92,11,1333,1189,11,2,1,0,1,FALSE
4/24/2026 9:15:39,ubon03698@gmail.com,03698 - รพ.สต.บ้านสร้างมิ่ง,10,หนองเมือง,ม่วงสามสิบ,2595,1291,1304,81,8,1115,777,5,1,1,0,8,FALSE
4/28/2026 16:52:06,rungrit1354@gmail.com,03798 - รพ.สต.บ้านนาดี,4,นาดี,นาเยีย,2255,1137,1118,62,5,791,504,4,1,1,0,1,FALSE
4/24/2026 9:29:58,ubon03712@gmail.com,03712 - รพ.สต.แสงไผ่,3,ไผ่ใหญ่,ม่วงสามสิบ,1640,809,831,63,6,705,573,7,3,0,0,1,FALSE
4/24/2026 10:02:26,3742phc@gmail.com,03742 - รพ.สต.บ้านหนองโพธิ์,1,โพธิ์ศรี,พิบูลมังสาหาร,12747,6329,6418,251,14,3025,2449,15,6,1,0,5,FALSE
4/24/2026 10:05:49,surocharsom@gmail.com,03583 - รพ.สต.บ้านไผ่,4,กลางใหญ่,เขื่องใน,2955,1483,1472,60,6,724,801,5,1,0,0,2,FALSE
4/24/2026 10:08:33,ub03668@gmail.com,03668 - รพ.สต.คำแคนน้อย,10,โนนกุง,ตระการพืชผล,2108,1101,1007,47,6,775,449,8,1,0,0,4,FALSE
4/24/2026 10:10:40,starsugaxx@gmail.com,03801 - รพ.สต.นาตาล,1,นาตาล,นาตาล,8181,4216,3965,184,16,2781,1778,13,6,2,3,181,FALSE
4/24/2026 10:23:53,khaunrutai1987@gmail.com,03799 - รพ.สต.บ้านนาดู่,10,นาดี,นาเยีย,5360,2865,2497,79,8,1170,664,14,2,1,0,1,FALSE
4/24/2026 10:46:28,s81953124@gmail.com,03558 - รพ.สต.บ้านหนองแสงใหญ่,1,หนองแสงใหญ่,โขงเจียม,33348,1675,1673,53,5,807,582,5,2,1,0,1,FALSE
4/24/2026 10:46:32,smm03547@gmail.com,03547 - รพ.สต.บ้านภูหล่น,15,สงยาง,ศรีเมืองใหม่,2107,1579,1528,69,8,1036,611,12,3,0,0,4,FALSE
4/24/2026 10:55:24,hemmadee@hotmail.com,03561 - รพ.สต.บ้านหนองผือน้อย,7,ห้วยไผ่,โขงเจียม,2255,1165,1090,37,4,603,293,9,2,1,0,4,FALSE
4/24/2026 10:56:29,huadon.0357103571@hotmail.com,03571 - รพ.สต.บ้านหัวดอน,1,หัวดอน,เขื่องใน,2285,1133,1152,47,4,566,655,7,1,0,0,2,FALSE
4/24/2026 11:04:05,DBSK03779@gmail.com,03779 - รพสต.บ้านดงบัง,2,ดอนมดแดง,ดอนมดแดง,9923,4982,4941,137,14,2359,1424,11,4,1,0,4,FALSE
4/24/2026 12:04:02,manachai89@gmail.com,03578 - รพ.สต.บ้านบุตร,4,แดงหม้อ,เขื่องใน,1468,754,714,33,4,361,328,3,2,0,1,1,FALSE
4/24/2026 13:25:58,tunglong03554@gmail.com,03554 - รพ.สต.บ้านตุงลุง,5,โขงเจียม,โขงเจียม,1857,912,945,30,4,567,262,4,1,0,0,1,FALSE
4/24/2026 14:20:38,kittapatrahula14@gmail.com,03555 - รพ.สต.บ้านนาบัว,3,ห้วยยาง,โขงเจียม,7681,3917,3764,155,11,2539,1367,18,4,2,1,11,FALSE
4/25/2026 8:16:49,satupak32n@gmail.com,03587 - รพ.สต.ตำบลศรีสุข,2,ศรีสุข,เขื่องใน,3656,1768,1888,113,8,1390,1134,11,5,0,1,3,FALSE
4/25/2026 12:02:13,sawitree090909@gmail.com,03560 - รพ.สต.บ้านห้วยไผ่,1,ห้วยไผ่,โขงเจียม,4346,2165,2181,65,6,889,525,9,1,1,0,6,FALSE
4/25/2026 13:15:23,occmskh@gmail.com,03582 - รพ.สต.บ้านกอก,5,บ้านกอก,เขื่่องใน,3915,1926,1989,79,6,1165,837,5,1,1,1,2,FALSE
4/25/2026 13:45:52,cakepondeaw@gmail.com,03559 - รพ.สต.บ้านวังอ่าง,7,หนองแสงใหญ่,โขงเจียม,2704,1363,1334,48,4,660,480,5,3,1,0,4,FALSE
4/25/2026 14:20:11,prapaporn.buapa@gmail.com,03579 - รพ.สต.บ้านธาตุน้อย,7,ธาตุน้อย,เขื่องใน,5052,2508,2544,137,10,1572,1231,5,2,1,0,1,FALSE
4/25/2026 15:17:43,najaluai03627@gmail.com,03627 - รพ.สต.บ้านบุ่งคำ,3,พรสวรรค์,นาจะหลวย,4103,2026,2077,111,10,1326,906,11,3,2,0,1,FALSE
4/25/2026 20:31:56,kertphon@gmail.com,03809 - รพ.สต.บ้านแพงใหญ่,6,แพงใหญ่,เหล่าเสือโก้ก,4532,2356,2176,111,13,1256,680,15,4,0,0,1,FALSE
4/26/2026 10:01:28,Pavanrat.1997@gmail.com,03563 - รพ.สต.บ้านกุดกระเสียน,10,เขื่องใน,เขื่องใน,3089,1517,1572,61,3,670,596,2,1,1,0,1,FALSE
4/27/2026 9:48:59,bomratree@gmail.com,03797 - รพ.สต.บ้านนาจาน,10,นาเยีย,นาเยีย,4524,2298,2226,90,9,1628,900,9,2,1,0,1,FALSE
4/29/2026 9:37:34,smm03544@gmail.com,03544 - รพ.สต.บ้านจันทัย,7,วาริน,ศรีเมืองใหม่,2804,1371,1433,44,6,762,513,5,3,0,0,2,FALSE
